ID_ENSEIGNANT|NOM_ENSEIGNANT|PREN_ENSEIGNANT|EMAIL_ENSEIGNANT
ENS001|Aaron|Cynthicia|idataformation@gmail.com
ENS002|Justin|Ennis|idataformation@gmail.com
ENS003|Craig|Ouatig|idataformation@gmail.com
ENS004|Katherine|Benjamn|idataformation@gmail.com
ENS005|Rick|Iskandr|idataformation@gmail.com
ENS006|Jim|Saintilan|idataformation@outlook.com
ENS007|Toby|Ornelia|idataformation@outlook.com
ENS008|Mick|Jianping|idataformation@outlook.com
ENS009|Aaron|Lemnaouar|idataformation@outlook.com
ENS010|Adda|Léonard|idataformation@outlook.com
ENS011|Magdelene|Rhomy|idataformation@outlook.com
