ID_ETUDIANT|CIVILITE_ETUDIANT|NOM_ETUDIANT|PREN_ETUDIANT|MAIL_ETUDIANT
ET001|Monsieur|Toby|Senadin|SanFrancisco@gmail.com
ET002|Monsieur|Toby|Eleomon|NewYorkCity@gmail.com
ET003|Madame|Toby|Elorane|Houston@gmail.com
ET004|Monsieur|Todd|Herv|SandySprings@gmail.com
ET005|Monsieur|Todd|Bruy|Houstodn@gmail.com
ET006|Monsieur|Larry|Azzaddin|Houstong@gmail.com
ET007|Madame|Todd|Cimento|NewYorkCityee@gmail.com
ET008|Monsieur|Todd|Lug|Chicago@gmail.com
ET009|Madame|Todd|Saintelia|Wilmington@gmail.com
ET010|Madame|Todd|Shafiq|Phoenix@gmail.com
ET011|Madame|Tom|Edoth|NewYorkCity1@gmail.com
ET012|Madame|Tom|Muyemba|Chicago55@gmail.com
ET013|Monsieur|Tom|Mans|NewYorkCitysa@gmail.com
ET014|Monsieur|Tom|Bewale|Tulsa@gmail.com
ET015|Madame|Tom|Allone|Seattle@gmail.com
ET016|Madame|Katherine|Gwelaouen|Seattle12@gmail.com
ET017|Madame|Tom|Rusheda|Miami01@gmail.com
ET018|Madame|Tom|Quintero|Freeport7@gmail.com
ET019|Madame|Tom|Ludomira|Dall7as@gmail.com
ET020|Monsieur|Tom|Sevar|Seattle89@gmail.com
ET021|Monsieur|Tom|Afoerinwa|LosAngelesane@gmail.com
ET022|Madame|Tom|Jhoane|Readingv@gmail.com
ET023|Monsieur|Tom|Menaouer|OklahomaCity845@gmail.com
ET024|Monsieur|Tonja|Rafeh|Auroraju@gmail.com
